FrozenTrial(number=24, state=TrialState.COMPLETE, values=[-90.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 33, 2, 346558), datetime_complete=datetime.datetime(2024, 2, 27, 10, 37, 31, 42286), params={'lr': 0.0009185338886994612, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.17897660986292593, 'n_steps': 512, 'gamma': 0.9955307519091522}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=24, value=None)
FrozenTrial(number=6, state=TrialState.COMPLETE, values=[-50.4], datetime_start=datetime.datetime(2024, 2, 27, 9, 25, 41, 590884), datetime_complete=datetime.datetime(2024, 2, 27, 9, 30, 1, 380459), params={'lr': 0.0010762014745138554, 'batch_size': 64, 'n_epochs': 2, 'clip_range': 0.2928365060219238, 'n_steps': 512, 'gamma': 0.9840225095416977}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=6, value=None)
FrozenTrial(number=11, state=TrialState.COMPLETE, values=[-50.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 45, 13, 645244), datetime_complete=datetime.datetime(2024, 2, 27, 9, 48, 46, 50661), params={'lr': 0.0060165370034884445, 'batch_size': 32, 'n_epochs': 2, 'clip_range': 0.23477278209630809, 'n_steps': 1024, 'gamma': 0.999872438479428}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=11, value=None)
FrozenTrial(number=41, state=TrialState.COMPLETE, values=[-49.8], datetime_start=datetime.datetime(2024, 2, 27, 11, 47, 0, 678668), datetime_complete=datetime.datetime(2024, 2, 27, 11, 51, 24, 727330), params={'lr': 0.004218671164015055, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.1894936456948007, 'n_steps': 512, 'gamma': 0.9896975856298011}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=41, value=None)
FrozenTrial(number=32, state=TrialState.COMPLETE, values=[-29.1], datetime_start=datetime.datetime(2024, 2, 27, 11, 6, 17, 552679), datetime_complete=datetime.datetime(2024, 2, 27, 11, 12, 25, 680328), params={'lr': 0.0020050756999966256, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.2743355129532485, 'n_steps': 512, 'gamma': 0.9945663437958575}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=32, value=None)
FrozenTrial(number=13, state=TrialState.COMPLETE, values=[101.4], datetime_start=datetime.datetime(2024, 2, 27, 9, 52, 14, 970397), datetime_complete=datetime.datetime(2024, 2, 27, 9, 56, 3, 777561), params={'lr': 0.008462241059789738, 'batch_size': 32, 'n_epochs': 2, 'clip_range': 0.2005491772232692, 'n_steps': 1024, 'gamma': 0.9957861461511777}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=13, value=None)
FrozenTrial(number=5, state=TrialState.COMPLETE, values=[115.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 21, 10, 732488), datetime_complete=datetime.datetime(2024, 2, 27, 9, 25, 41, 589637), params={'lr': 0.00017917249469800095, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.11501663047530815, 'n_steps': 1024, 'gamma': 0.9844619661188804}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=5, value=None)
FrozenTrial(number=44, state=TrialState.COMPLETE, values=[291.9], datetime_start=datetime.datetime(2024, 2, 27, 11, 58, 6, 747681), datetime_complete=datetime.datetime(2024, 2, 27, 12, 3, 14, 946633), params={'lr': 0.0014091345277131688, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.29383643442601287, 'n_steps': 512, 'gamma': 0.991169094097925}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=44, value=None)
FrozenTrial(number=10, state=TrialState.COMPLETE, values=[306.0], datetime_start=datetime.datetime(2024, 2, 27, 9, 41, 37, 386719), datetime_complete=datetime.datetime(2024, 2, 27, 9, 45, 13, 644154), params={'lr': 1.0261756683598491e-05, 'batch_size': 64, 'n_epochs': 1, 'clip_range': 0.23935000000954018, 'n_steps': 512, 'gamma': 0.9802693322584171}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=10, value=None)
FrozenTrial(number=29, state=TrialState.COMPLETE, values=[460.9], datetime_start=datetime.datetime(2024, 2, 27, 10, 52, 36, 109028), datetime_complete=datetime.datetime(2024, 2, 27, 10, 58, 15, 995041), params={'lr': 0.005301406057680038, 'batch_size': 16, 'n_epochs': 2, 'clip_range': 0.12781716596118173, 'n_steps': 2048, 'gamma': 0.997215630826627}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=29, value=None)
FrozenTrial(number=26, state=TrialState.COMPLETE, values=[462.2], datetime_start=datetime.datetime(2024, 2, 27, 10, 41, 59, 254588), datetime_complete=datetime.datetime(2024, 2, 27, 10, 46, 0, 214126), params={'lr': 0.025335844779729978, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.15587118622637353, 'n_steps': 512, 'gamma': 0.9877812681281672}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=26, value=None)
