FrozenTrial(number=13, state=TrialState.COMPLETE, values=[117.8], datetime_start=datetime.datetime(2024, 2, 27, 16, 22, 6, 762012), datetime_complete=datetime.datetime(2024, 2, 27, 16, 35, 28, 514813), params={'lr': 1.3485992978010261e-06, 'batch_size': 1024, 'n_epochs': 8, 'clip_range': 0.2670574842044885, 'n_steps': 1024, 'gamma': 0.9963198449873422, 'seed': 344}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=13, value=None)
FrozenTrial(number=25, state=TrialState.COMPLETE, values=[129.4], datetime_start=datetime.datetime(2024, 2, 27, 17, 56, 31, 432382), datetime_complete=datetime.datetime(2024, 2, 27, 18, 6, 54, 3200), params={'lr': 2.2155230032751476e-06, 'batch_size': 512, 'n_epochs': 4, 'clip_range': 0.2646277956726062, 'n_steps': 1024, 'gamma': 0.9944363987081594, 'seed': 454}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=25, value=None)
FrozenTrial(number=3, state=TrialState.COMPLETE, values=[212.0], datetime_start=datetime.datetime(2024, 2, 27, 15, 6, 36, 544545), datetime_complete=datetime.datetime(2024, 2, 27, 15, 11, 19, 725890), params={'lr': 0.0006773083964394914, 'batch_size': 128, 'n_epochs': 3, 'clip_range': 0.2639499635416434, 'n_steps': 512, 'gamma': 0.9905150386880736, 'seed': 339}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=3, value=None)
FrozenTrial(number=7, state=TrialState.COMPLETE, values=[438.0], datetime_start=datetime.datetime(2024, 2, 27, 15, 35, 42, 72461), datetime_complete=datetime.datetime(2024, 2, 27, 15, 49, 37, 5916), params={'lr': 4.21469221010367e-06, 'batch_size': 512, 'n_epochs': 8, 'clip_range': 0.2818181831357853, 'n_steps': 1024, 'gamma': 0.9973559497745531, 'seed': 49}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=7, value=None)
FrozenTrial(number=35, state=TrialState.COMPLETE, values=[455.4], datetime_start=datetime.datetime(2024, 2, 27, 19, 40, 24, 533546), datetime_complete=datetime.datetime(2024, 2, 27, 19, 54, 18, 770016), params={'lr': 0.0001360446478709514, 'batch_size': 128, 'n_epochs': 3, 'clip_range': 0.2876726306788909, 'n_steps': 1024, 'gamma': 0.9911184492018521, 'seed': 549}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=35, value=None)
FrozenTrial(number=22, state=TrialState.COMPLETE, values=[473.8], datetime_start=datetime.datetime(2024, 2, 27, 17, 30, 50, 666284), datetime_complete=datetime.datetime(2024, 2, 27, 17, 38, 38, 605409), params={'lr': 0.00035774513471137896, 'batch_size': 128, 'n_epochs': 5, 'clip_range': 0.2648253442341784, 'n_steps': 1024, 'gamma': 0.9948315463955051, 'seed': 659}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=22, value=None)
FrozenTrial(number=0, state=TrialState.COMPLETE, values=[487.0], datetime_start=datetime.datetime(2024, 2, 27, 14, 49, 54, 906764), datetime_complete=datetime.datetime(2024, 2, 27, 14, 57, 6, 627869), params={'lr': 0.0006536955986715755, 'batch_size': 64, 'n_epochs': 10, 'clip_range': 0.283143233842182, 'n_steps': 512, 'gamma': 0.9901265368298662, 'seed': 380}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=0, value=None)
FrozenTrial(number=10, state=TrialState.COMPLETE, values=[504.0], datetime_start=datetime.datetime(2024, 2, 27, 16, 1, 38, 83420), datetime_complete=datetime.datetime(2024, 2, 27, 16, 8, 9, 592774), params={'lr': 5.8070941854845615e-06, 'batch_size': 128, 'n_epochs': 8, 'clip_range': 0.26995713464085824, 'n_steps': 512, 'gamma': 0.9954873597883774, 'seed': 861}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=10, value=None)
FrozenTrial(number=11, state=TrialState.COMPLETE, values=[504.0], datetime_start=datetime.datetime(2024, 2, 27, 16, 8, 9, 594515), datetime_complete=datetime.datetime(2024, 2, 27, 16, 12, 55, 803120), params={'lr': 2.973355712477948e-05, 'batch_size': 256, 'n_epochs': 4, 'clip_range': 0.2722591895695635, 'n_steps': 1024, 'gamma': 0.9949669193557141, 'seed': 225}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=11, value=None)
FrozenTrial(number=15, state=TrialState.COMPLETE, values=[504.0], datetime_start=datetime.datetime(2024, 2, 27, 16, 40, 14, 85022), datetime_complete=datetime.datetime(2024, 2, 27, 16, 46, 25, 869368), params={'lr': 2.865710081120486e-05, 'batch_size': 128, 'n_epochs': 7, 'clip_range': 0.28943803473061547, 'n_steps': 1024, 'gamma': 0.9925881838235218, 'seed': 431}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=15, value=None)
FrozenTrial(number=40, state=TrialState.COMPLETE, values=[518.0], datetime_start=datetime.datetime(2024, 2, 27, 21, 12, 10, 348855), datetime_complete=datetime.datetime(2024, 2, 27, 21, 20, 7, 960398), params={'lr': 8.953495749048481e-05, 'batch_size': 128, 'n_epochs': 3, 'clip_range': 0.2808905357118974, 'n_steps': 512, 'gamma': 0.9939071787342545, 'seed': 509}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=40, value=None)
